dataset,m,ks,depth,num_layers,num_heads,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
NASA,16,5,1,1,4,B0006,0.0323658301918344,0.0077310358950247,0.1884611299271155,0.0646473211968075,4,0.1701635718345642
NASA,16,5,1,1,4,B0007,0.0066779420141958,0.0017007767324685,0.0305983328004994,0.0400892873095585,27,0.1542663269854606
NASA,16,5,1,1,4,B0018,0.0023045041792405,0.0034203505104718,0.0179534556987056,0.0582075414566111,49,0.1850687351779661
NASA,16,5,1,1,8,B0005,0.0040955609768967,0.0025150523943011,0.0179213280874766,0.0498290578285583,60,0.1773078322410583
NASA,16,5,1,1,8,B0006,0.0143540323373268,0.0044509712606668,0.0850809508430313,0.0610499338698198,8,0.1758892621312822
NASA,16,5,1,1,8,B0007,0.0042133338025046,0.0009043082653079,0.0153481279942013,0.0296774623563164,93,0.1535597164019019
NASA,16,5,1,1,8,B0018,0.0053336301934905,0.0033963655587285,0.0341397850110963,0.0572696525190482,11,0.1882466731532927
NASA,16,5,1,2,1,B0005,0.0031308183891021,0.0023025809714454,0.0118446342803045,0.0478388064701674,46,0.2891825293049668
NASA,16,5,1,2,1,B0006,0.004529875554991,0.004632119477416,0.0344480717738365,0.0671822337232439,15,0.2778386116027832
NASA,16,5,1,2,1,B0007,0.0023340556977523,0.0009730625723022,0.0151738060475278,0.0308226885181148,81,0.2422845646886542
NASA,16,5,1,2,1,B0018,0.0047890510177239,0.0029080259846523,0.0359162056195919,0.0527164931502729,15,0.3018920966557094
NASA,16,5,1,2,2,B0005,0.0031264043328436,0.0020275954011594,0.014039454380488,0.0448094272056566,46,0.2945075396335486
NASA,16,5,1,2,2,B0006,0.0072128872641108,0.0049267647167046,0.0502837409501099,0.0683660674225173,9,0.2872731767851731
NASA,16,5,1,2,2,B0007,0.0042675934059338,0.001014591686544,0.0129287247334444,0.0315891835224021,50,0.2571550505501883
NASA,16,5,1,2,2,B0018,0.0047776398617619,0.003679612535052,0.0461104607530742,0.0588811939936405,15,0.3070874691009521
NASA,16,5,1,2,4,B0005,0.0030320104931227,0.0023230020597111,0.011971830262297,0.0480486173684546,46,0.2948939944758559
NASA,16,5,1,2,4,B0006,0.0037637729705734,0.0061194926965981,0.0425762190395841,0.0770598433024185,12,0.2823986858129501
NASA,16,5,1,2,4,B0007,0.0028565971620587,0.0006441298814024,0.0169378575656307,0.0248080789367043,59,0.2528263949140718
NASA,16,5,1,2,4,B0018,0.0025873880852789,0.0043600718490779,0.018402403066673,0.065773908647842,25,0.3145648161570231
NASA,16,5,1,2,8,B0005,0.0017253103591925,0.0015560725987597,0.0223717026400864,0.0388075159068206,93,0.2977721037062923
NASA,16,5,1,2,8,B0006,0.0254545365460217,0.0032900989366074,0.0890961194232883,0.0499628561418009,3,0.2893913828808328
