lr,bs,model_dim,ks,depth,num_layers,num_heads,num_heads_s,alpha,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
0.0007,16,16,2,2,4,1,1,0.1,B0018,0.003070350556695105,0.005054317172228669,0.022029070268322785,0.0707516028073284,17,1.2205704753078632
0.0007,16,16,2,3,1,1,1,0.1,B0005,0.002707258712256416,0.002120565381898944,0.013833089047807839,0.04584135626167709,94,0.41563889880975086
0.0007,16,16,2,3,1,1,1,0.1,B0006,0.0029843252268619835,0.0033682078840987137,0.02772653928579218,0.05737012955505949,55,0.4265269710904076
0.0007,16,16,2,3,1,1,1,0.1,B0007,0.0037076834220594415,0.0008164501118699263,0.014467406935152177,0.02820495586602308,92,0.3758126984179859
0.0007,16,16,2,3,1,1,1,0.1,B0018,0.004124877549221982,0.0031028771287916848,0.043125683875272096,0.054008283514599645,7,0.4520989551878812
0.0007,16,16,2,3,2,1,1,0.1,B0005,0.00187777924085302,0.0019045407035654144,0.015417810719845656,0.04336784322213928,50,0.7199940919876099
0.0007,16,16,2,3,2,1,1,0.1,B0006,0.0032825032169718975,0.0029061027841332057,0.025636901108978042,0.05329519433898932,64,0.7382862233279044
0.0007,16,16,2,3,2,1,1,0.1,B0007,0.002271285267650253,0.0011901706420758273,0.017189962987587574,0.0340678903626018,50,0.6561688590049743
0.0007,16,16,2,3,2,1,1,0.1,B0018,0.0036965748750726166,0.004369686588082307,0.024228114859049306,0.06565810313536895,15,0.775622166120089
0.0007,16,16,2,3,3,1,1,0.1,B0005,0.0030808342465509972,0.0027424404553520226,0.012882170981023835,0.05220962917380296,84,1.0209797015830653
0.0007,16,16,2,3,3,1,1,0.1,B0006,0.0025313874674876306,0.0029544815188273787,0.02497554612141018,0.0537782826656178,25,1.0543772315979003
0.0007,16,16,2,3,3,1,1,0.1,B0007,0.0028277410634068977,0.0008714425050129649,0.010398981007299012,0.02933647229065763,57,0.9346282237044005
0.0007,16,16,2,3,3,1,1,0.1,B0018,0.0032375998865894003,0.003375034299097024,0.02847968813320789,0.05739272660213833,19,1.0871085187663203
0.0007,16,16,2,3,4,1,1,0.1,B0005,0.004889980002882935,0.0019990053738833274,0.01178513724046912,0.044554644799751617,25,1.315854705174764
0.0007,16,16,2,3,4,1,1,0.1,B0006,0.002988461960657415,0.004162890910568724,0.024690989995950527,0.06404628363553114,46,1.3624772131443024
0.0007,16,16,2,3,4,1,1,0.1,B0007,0.0009869983963047464,0.0016049504723923747,0.016808399070212515,0.039707659618566454,66,1.1918766786312234
0.0007,16,16,2,3,4,1,1,0.1,B0018,0.11315084313568861,0.07747501460835338,0.19820025819618037,0.271194913175457,1,1.41136246101529
0.0007,16,16,2,4,1,1,1,0.1,B0005,0.0030221243477648214,0.002323303414803896,0.013072346984225646,0.048023064878663785,48,0.47158971611334355
0.0007,16,16,2,4,1,1,1,0.1,B0006,0.004848312290216034,0.002077865142685672,0.03317430864213519,0.04436002306763183,11,0.4914731901200091
0.0007,16,16,2,4,1,1,1,0.1,B0007,0.0046841601013309425,0.0010936459686490708,0.013109013045233849,0.03280947012142587,41,0.4314766506572346
0.0007,16,16,2,4,1,1,1,0.1,B0018,0.0029137051036662383,0.003959716564471212,0.017111492034114786,0.06269319151980145,43,0.5136067687824208
0.0007,16,16,2,4,2,1,1,0.1,B0005,0.002053653372318617,0.002303955141022535,0.011809132475940837,0.04785404460849813,63,0.8300617479645045
0.0007,16,16,2,4,2,1,1,0.1,B0006,0.0027967820907096293,0.0037171933023879924,0.02114785917227784,0.06060090773660459,45,0.8510321893190083
0.0007,16,16,2,4,2,1,1,0.1,B0007,0.0026251412766416455,0.0008629753509012516,0.014979551284609613,0.028992010127458393,43,0.7467176298941335
0.0007,16,16,2,4,2,1,1,0.1,B0018,0.0038124764257151146,0.0047206670278683305,0.032811282038080945,0.0679191361004086,14,0.8835418745875359
0.0007,16,16,2,4,3,1,1,0.1,B0005,0.004113512069341682,0.0024133059757462305,0.019564277719759583,0.048734277600734247,28,1.2397880890430548
