dataset,ks,depth,num_layers,num_heads,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
NASA,7,2,1,8,B0006,0.004691163374280388,0.004869514533008139,0.05319465803409147,0.06772405376174326,11,0.5361275596003379
NASA,7,2,1,8,B0007,0.003831433287511269,0.0008052363315073308,0.014523001489294156,0.028002581907568002,58,0.4892207995439187
NASA,7,2,1,8,B0018,0.003736235104346027,0.00367407884914428,0.027390606468389447,0.059992117649618426,29,0.6030867732301051
NASA,7,2,2,1,B0005,0.004144779321822253,0.002134463553375099,0.018753700656388168,0.045818046668681736,44,0.9647546634078026
NASA,7,2,2,1,B0006,0.003307735589756207,0.00386281730607152,0.028261093660760545,0.06150567779844511,31,0.9470291418187758
NASA,7,2,2,1,B0007,0.0027498198259207937,0.0011308074783300981,0.021025371238116635,0.03296362914806201,44,0.8431416340172291
NASA,7,2,2,1,B0018,0.004609236823550115,0.003345142894734939,0.02660079114577967,0.057222222195056134,21,1.0169874051722085
NASA,7,2,2,2,B0005,0.001646681223064661,0.0020616624533431605,0.021076114231460323,0.044913718789252426,52,0.9786580933464898
NASA,7,2,2,2,B0006,0.0022440326124937696,0.003211823757737875,0.023210295132342604,0.056195658411401846,63,0.9477011439311935
NASA,7,2,2,2,B0007,0.004053289769217372,0.0010842419156688265,0.011372937058454647,0.03273083509278969,64,0.8636906487601144
NASA,7,2,2,2,B0018,0.014092523138970137,0.00375113341336449,0.08035198901390418,0.05572691584027231,7,1.058138953314887
NASA,7,2,2,4,B0005,0.003328147873451764,0.002095464660669677,0.020351669645931193,0.04532158067987494,30,0.9886521482467652
NASA,7,2,2,4,B0006,0.0039004873780703,0.002783212267483274,0.027105469819977367,0.052055179417286955,45,0.9515949762784518
NASA,7,2,2,4,B0007,0.003054993395279679,0.000724126334534958,0.015580431464485784,0.026454703695168814,59,0.8485779882986334
NASA,7,2,2,4,B0018,0.004083983677749832,0.0031026110518723726,0.02350496394083328,0.05520292334695655,20,1.0255916118621826
NASA,7,2,2,8,B0005,0.00303961529227143,0.0020916518988087773,0.026814381504711667,0.04494163744820667,30,0.9726285409927368
NASA,7,2,2,8,B0006,0.004031632434238087,0.003990780096501112,0.03583014050020195,0.0621482111662782,18,0.953933973061411
NASA,7,2,2,8,B0007,0.0020138579420745373,0.0008097833953797818,0.013400229778355317,0.028139416583061044,61,0.8669770735281485
NASA,7,2,2,8,B0018,0.00901982516127949,0.0026519731036387384,0.060079016094974035,0.047864644944865975,4,1.0664537250995636
NASA,7,2,3,1,B0005,0.004799201513047923,0.0020028956423630007,0.016257867401599527,0.044457438052599385,64,1.4097278912862141
NASA,7,2,3,1,B0006,0.0033471625806255774,0.004401325597427785,0.04446094910131835,0.06483554547609992,21,1.4042215986949642
NASA,7,2,3,1,B0007,0.003966566589143541,0.0010789359716000036,0.018028070438346852,0.03234864527324221,39,1.2446575164794922
NASA,7,2,3,1,B0018,0.003803565186293175,0.003344499428446094,0.02650090104901309,0.05722123378652951,30,1.487855272293091
NASA,7,2,3,2,B0005,0.003207181749696081,0.002570993692643242,0.012170289072129813,0.05055869913743685,52,1.4029758539464738
NASA,7,2,3,2,B0006,0.006609586109830575,0.0038246975746005774,0.032547303186554744,0.06098167619557896,30,1.366697096824646
NASA,7,2,3,2,B0007,0.0035781246196064684,0.0022146068571601064,0.019945304197279044,0.046635022963640506,23,1.2225671091745065
NASA,7,2,3,2,B0018,0.004865454587464531,0.002986457742129763,0.034055478189492935,0.053576862725649696,18,1.5062202466161627
NASA,7,2,3,4,B0005,0.0018451804591512139,0.0017005331537802704,0.009298900488600631,0.04113254396364187,73,1.3954735289337814
NASA,7,2,3,4,B0006,0.003521048781377348,0.003813604824244976,0.03553533047847271,0.06072338042824826,24,1.385087322105061
