dataset,model_dim,ks,depth,num_layers,num_heads,val_bat,train_loss,val_loss,val_soh_rmse,val_rul_rmse,epochs,time_per_epoch
NASA,64,7,4,3,1,B0018,0.06504866651569803,0.06262785941362381,0.050037169067653146,0.24975485256137564,23,0.8038819002550702
NASA,64,5,1,2,8,B0005,0.0009649346624924378,0.0009147131349891424,0.015075742594993441,0.0298661238449012,81,0.30792220984355057
NASA,64,5,1,2,8,B0006,0.006838027938184413,0.0034837153119345507,0.04004101607937651,0.057648824502857625,15,0.32621660913739886
NASA,64,5,1,2,8,B0007,0.0034983240119698974,0.0012522201344836504,0.017676880316424153,0.03494242343260286,20,0.2662652015686035
NASA,64,5,1,2,8,B0018,0.0014509687607642263,0.004063080161965142,0.018962321199914152,0.06345961937607149,27,0.3408657895757797
NASA,64,5,4,3,1,B0005,0.05611911788582802,0.044419134967029095,0.07153673608781691,0.20954088898188378,37,0.779989669197484
NASA,64,5,4,3,1,B0006,0.06643231721086935,0.06450895685702562,0.08789668393443532,0.2524606419458813,9,0.7617424520952948
NASA,64,5,4,3,1,B0007,0.004341582470159564,0.0010574111307505517,0.01312299522516275,0.03225197372692577,47,0.6770593586252697
NASA,64,5,4,3,1,B0018,0.07476604016846977,0.06667074250678222,0.06157386822068218,0.2574715690084591,7,0.8138337311921297
NASA,64,7,1,4,4,B0005,0.1635160151530396,0.08254165155813098,0.2810804382440875,0.27320510917397944,1,0.5942071960085914
NASA,64,7,1,4,4,B0006,0.066946880383925,0.06455118395388126,0.08826006557628302,0.25253158215534477,7,0.5722911357879639
NASA,64,7,1,4,4,B0007,0.06533255469467905,0.0714466649107635,0.07586176158768129,0.2662163830435973,34,0.504935105641683
NASA,64,7,1,4,4,B0018,0.07442138250917196,0.06698920205235481,0.08629718604775131,0.2573800337095249,2,0.6134583516554399
NASA,64,5,1,4,4,B0005,0.16354065049778332,0.08253526501357555,0.2810549622694081,0.27319603459307157,1,0.5635168325333368
NASA,64,5,1,4,4,B0006,0.06694151596589522,0.06455192808061838,0.088264359926872,0.25253290243618765,7,0.5485432324586091
NASA,64,5,1,4,4,B0007,0.06533235063155492,0.07144666672684252,0.07586229630734874,0.2662163737729249,34,0.48346376419067383
NASA,64,5,1,4,4,B0018,0.07439452596008778,0.06699840041498344,0.08646334399383278,0.25739232777930954,2,0.5955928780815818
NASA,64,3,1,3,2,B0005,0.07694711807099255,0.07745453389361501,0.1663720428204348,0.2732884366880063,2,0.42999863624572754
NASA,64,3,1,3,2,B0006,0.06595445119521835,0.064464273241659,0.08946441217561095,0.2523170320983643,52,0.4297083152665032
NASA,64,3,1,3,2,B0007,0.0639930408861902,0.06823351616039872,0.06694206981543747,0.26035627808346123,30,0.37006124019622805
NASA,64,3,1,3,2,B0018,0.07341193128377199,0.06659886334091425,0.06292033843623368,0.25729937315833273,4,0.45962568124135333
